tmdb_id,genre
78698,Fantasy
79120,Drama
79120,Romance
79224,Drama
79224,Action
79224,History
79316,Horror
79548,Thriller
79548,Mystery
79553,Drama
79553,Action
79553,War
79694,Horror
79694,Thriller
79697,Comedy
80035,Comedy
80035,Action
80035,Science Fiction
80038,Comedy
80038,Drama
80038,Romance
80271,Drama
80271,Comedy
80271,Romance
80274,Science Fiction
80274,Action
80274,Adventure
80278,Drama
80278,Thriller
80278,History
80280,Horror
80304,Comedy
80304,Western
80321,Animation
80321,Family
80321,Comedy
80321,Adventure
80389,Action
80389,Thriller
80389,Crime
80389,Drama
80585,Comedy
80585,Drama
80585,Romance
80585,Music
80717,Drama
80717,Music
80767,Documentary
81005,Fantasy
81005,Action
81005,Adventure
81025,Drama
81025,Romance
81025,Comedy
81188,Action
81188,Adventure
81188,Animation
81188,Family
81188,Fantasy
81342,Drama
81342,Comedy
81342,Romance
81390,Adventure
81390,Action
81390,Thriller
81390,Crime
81401,Drama
81446,Action
81446,Comedy
81446,Crime
81481,Drama
81796,Action
81796,Thriller
81796,Science Fiction
81836,Comedy
81836,Romance
81870,Action
81870,Adventure
81870,Drama
82390,Thriller
82390,Drama
82390,Mystery
82505,Horror
82505,Thriller
82507,Horror
82507,Thriller
82507,Mystery
82520,Drama
82525,Crime
82525,Drama
82525,Thriller
82532,Drama
82532,Comedy
82633,Crime
82633,Drama
82633,Western
82650,Comedy
82650,Family
82654,Horror
82654,Comedy
82654,Romance
82654,Action
82654,Science Fiction
82675,Action
82675,Crime
82675,Thriller
82679,Comedy
82682,Crime
82682,Drama
82682,Action
82682,Thriller
82684,Drama
82687,Comedy
82690,Family
82690,Animation
82690,Comedy
82690,Adventure
82693,Drama
82693,Comedy
82693,Romance
82695,History
82695,Drama
82696,Drama
82696,Comedy
82696,Romance
82700,Science Fiction
82700,Action
82700,Adventure
82702,Fantasy
82702,Action
82702,Adventure
82702,Animation
82702,Family
82703,Animation
82703,Science Fiction
82703,Comedy
82703,Adventure
82703,Family
82825,Mystery
82825,Thriller
82990,Horror
82992,Action
82992,Thriller
82992,Crime
83389,Animation
83389,Drama
83542,Drama
83542,Science Fiction
83666,Comedy
83666,Drama
83666,Romance
83686,Drama
83686,Thriller
83770,Adventure
83770,Drama
83899,Horror
83899,Thriller
83899,Mystery
84174,Comedy
84174,Romance
84175,Drama
